,imp_mean,imp_std
Unnamed: 0,0.0,0.0
sec_app_fico_range_low,0.0,0.0
revol_bal_joint,0.0,4.2163702135573745e-05
tax_liens,0.0,0.0
percent_bc_gt_75,0.0,0.0
num_tl_op_past_12m,0.0,0.0
num_tl_90g_dpd_24m,0.0,0.0
num_sats,0.0,0.0
num_rev_tl_bal_gt_0,0.0,0.0
num_op_rev_tl,0.0,0.0
sec_app_fico_range_high,0.0,0.0
num_accts_ever_120_pd,0.0,0.0
mths_since_recent_bc,0.0,7.30296743340141e-05
mo_sin_rcnt_tl,0.0,0.0
delinq_amnt,0.0,0.0
chargeoff_within_12_mths,0.0,0.0
settlement_percentage,0.0,0.0
bc_open_to_buy,0.0,0.0
total_cu_tl,0.0,0.0
total_rev_hi_lim,0.0,0.0
open_rv_12m,0.0,0.0
mths_since_recent_bc_dlq,0.0,0.0
mths_since_rcnt_il,0.0,0.0
sec_app_inq_last_6mths,0.0,0.0
sec_app_revol_util,0.0,0.0
settlement_amount,0.0,0.0
settlement_date,0.0,0.0
settlement_status,0.0,0.0
debt_settlement_flag_date,0.0,0.0
debt_settlement_flag,0.0,0.0
hardship_last_payment_amount,0.0,0.0
hardship_payoff_balance_amount,0.0,0.0
orig_projected_additional_accrued_interest,0.0,0.0
hardship_loan_status,0.0,0.0
sec_app_open_acc,0.0,0.0
hardship_dpd,0.0,0.0
hardship_end_date,0.0,0.0
hardship_start_date,0.0,0.0
hardship_status,0.0,0.0
hardship_reason,0.0,0.0
sec_app_mths_since_last_major_derog,0.0,0.0
sec_app_collections_12_mths_ex_med,0.0,0.0
sec_app_chargeoff_within_12_mths,0.0,0.0
sec_app_num_rev_accts,0.0,0.0
sec_app_open_act_il,0.0,0.0
payment_plan_start_date,0.0,0.0
open_il_24m,0.0,0.0
settlement_term,0.0,0.0
open_act_il,0.0,0.0
total_rec_late_fee,0.0,0.0
collections_12_mths_ex_med,0.0,0.0
open_il_12m,0.0,0.0
initial_list_status,0.0,0.0
annual_inc_joint,0.0,0.0
mths_since_last_delinq,0.0,0.0
verification_status_joint,0.0,0.0
acc_now_delinq,0.0,0.0
recoveries,0.0,0.0
delinq_2yrs,0.0,0.0
fico_range_high,0.0,0.0
verification_status,0.0,0.0
sub_grade,0.0,0.0
grade,0.0,0.0
funded_amnt_inv,0.0,0.0
open_acc_6m,0.0,0.0
funded_amnt,0.0,0.0
loan_amnt,0.0,0.0
collection_recovery_fee,0.0,0.0
int_rate,1.3333333333331865e-05,2.666666666666373e-05
open_acc,1.3333333333331865e-05,0.00010666666666665493
mo_sin_rcnt_rev_tl_op,-1.3333333333331865e-05,6.53197264742109e-05
loan_status,-1.3333333333354069e-05,0.00027776888874666243
total_pymnt,-2.666666666666373e-05,0.00013727506854647822
hardship_amount,2.666666666666373e-05,3.265986323710544e-05
bc_util,-2.666666666666373e-05,0.00012364824660659576
dti_joint,2.666666666666373e-05,3.265986323710544e-05
num_actv_bc_tl,2.666666666666373e-05,3.265986323710544e-05
pub_rec_bankruptcies,3.999999999997339e-05,0.0004762818959864365
mths_since_last_record,3.999999999999559e-05,5.333333333332746e-05
num_bc_tl,3.999999999999559e-05,6.79869268478963e-05
total_pymnt_inv,3.999999999999559e-05,6.79869268478963e-05
il_util,3.999999999999559e-05,6.79869268478963e-05
num_tl_120dpd_2m,3.999999999999559e-05,5.333333333332746e-05
num_actv_rev_tl,5.333333333332746e-05,0.0001857118436957678
all_util,-5.333333333332746e-05,2.666666666666373e-05
pct_tl_nvr_dlq,-5.333333333332746e-05,0.00012927146286442122
mths_since_recent_revol_delinq,-5.333333333332746e-05,4.988876515698039e-05
mths_since_last_major_derog,-6.666666666665932e-05,7.30296743340141e-05
num_bc_sats,6.666666666665932e-05,4.2163702135573745e-05
mo_sin_old_il_acct,7.999999999999118e-05,0.0001599999999999824
open_rv_24m,-0.00010666666666665492,3.265986323710545e-05
num_il_tl,0.00010666666666665492,0.0001306394529484218
revol_util,0.00010666666666665492,0.00014360439485690428
num_rev_accts,0.00013333333333331865,0.0002633122354417243
max_bal_bc,0.00013333333333331865,0.0001932183566158379
installment,0.00013333333333331865,9.428090415819596e-05
inq_last_12m,0.00013333333333331865,0.00011155467020453112
acc_open_past_24mths,0.00013333333333331865,0.00017888543819996348
term,0.0001466666666666505,0.00022070593809660034
last_pymnt_amnt,0.00015999999999996017,0.0007261466028901412
revol_bal,0.00015999999999998237,0.00019136933459207658
sec_app_mort_acc,0.00018666666666664611,4.988876515698039e-05
annual_inc,0.00019999999999995577,0.00036998498468030877
total_bal_il,0.00021333333333330983,0.0001292714628644212
inq_fi,0.0002533333333333054,0.000154344492037186
dti,-0.0002666666666666817,0.00032659863237109976
total_rec_int,0.0002799999999999692,0.0001423610433604018
pub_rec,-0.0002800000000000136,0.00019504985117773253
tot_coll_amt,-0.0003066666666666773,0.00018184242262650528
application_type,0.00031999999999996474,0.00010666666666665493
inq_last_6mths,0.00036000000000000474,0.0005836284967530372
total_rec_prncp,-0.000573333333333359,0.00024073960113691177
total_bc_limit,0.0007333333333333414,0.00038180856168737
mths_since_recent_inq,0.0015466666666666517,0.0012201274978915506
mo_sin_old_rev_tl_op,0.002479999999999971,0.0003709447398198304
total_acc,0.002519999999999989,0.0005938948653685211
num_tl_30dpd,0.006186666666666674,0.0004450218471540852
emp_length,0.00737333333333332,0.001093495922869995
purpose,0.011066666666666647,0.0005656854249492543
addr_state,0.013813333333333322,0.000625957045029606
total_il_high_credit_limit,0.01693333333333331,0.0008315981935740299
avg_cur_bal,0.02155999999999998,0.0019425527305870374
total_bal_ex_mort,0.02275999999999998,0.0010124557603503773
tot_cur_bal,0.06247999999999998,0.0015722029837849265
tot_hi_cred_lim,0.13534666666666667,0.0021222210587547954
